N-gram-feat-comb,char N-gram,word N-gram,func N-gram,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
1-4-0 char-word-func,1,4,0,948,logent,MultinomialNB,0.73,0.72,0.8,0.66,0.79,0.76,0.84,0.69,0.84
1-4-0 char-word-func,1,4,0,948,logent,BernoulliNB,0.65,0.67,0.78,0.7,0.71,0.73,0.83,0.71,0.71
1-4-0 char-word-func,1,4,0,948,logent,AdaBoostClassifier,0.74,0.74,0.81,0.72,0.77,0.76,0.89,0.72,0.81
1-5-0 char-word-func,1,5,0,349,logent,LogisticRegression,0.55,0.5,0.83,0.0,0.57,0.5,0.87,0.0,0.73
1-5-0 char-word-func,1,5,0,349,logent,LinearSVC,0.66,0.62,0.83,0.35,0.74,0.7,0.0,0.58,0.81
1-5-0 char-word-func,1,5,0,349,logent,SVC,0.55,0.5,0.84,0.0,0.57,0.5,0.0,0.0,0.73
1-5-0 char-word-func,1,5,0,349,logent,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.81,0.8,0.8,0.77,0.84
1-5-0 char-word-func,1,5,0,349,logent,RandomForestClassifier,0.67,0.64,0.79,0.42,0.73,0.69,0.84,0.55,0.81
1-5-0 char-word-func,1,5,0,349,logent,MultinomialNB,0.73,0.72,0.82,0.68,0.76,0.74,0.84,0.69,0.8
1-5-0 char-word-func,1,5,0,349,logent,BernoulliNB,0.65,0.67,0.81,0.71,0.66,0.69,0.82,0.69,0.63
1-5-0 char-word-func,1,5,0,349,logent,AdaBoostClassifier,0.69,0.69,0.78,0.66,0.76,0.74,0.82,0.7,0.79
1-6-0 char-word-func,1,6,0,186,logent,LogisticRegression,0.55,0.5,0.81,0.0,0.57,0.5,0.86,0.0,0.73
1-6-0 char-word-func,1,6,0,186,logent,LinearSVC,0.66,0.63,0.82,0.42,0.75,0.72,0.0,0.63,0.81
1-6-0 char-word-func,1,6,0,186,logent,SVC,0.55,0.5,0.82,0.0,0.57,0.5,0.0,0.0,0.73
1-6-0 char-word-func,1,6,0,186,logent,DecisionTreeClassifier,0.7,0.7,0.7,0.67,0.8,0.79,0.79,0.76,0.83
1-6-0 char-word-func,1,6,0,186,logent,RandomForestClassifier,0.68,0.66,0.79,0.53,0.78,0.75,0.86,0.69,0.83
1-6-0 char-word-func,1,6,0,186,logent,MultinomialNB,0.72,0.72,0.8,0.7,0.76,0.75,0.84,0.71,0.79
1-6-0 char-word-func,1,6,0,186,logent,BernoulliNB,0.66,0.68,0.78,0.71,0.66,0.69,0.82,0.69,0.62
1-6-0 char-word-func,1,6,0,186,logent,AdaBoostClassifier,0.73,0.73,0.79,0.72,0.78,0.77,0.89,0.73,0.81
0-1-1 char-word-func,0,1,1,4313,logent,LogisticRegression,0.55,0.5,0.67,0.0,0.57,0.5,0.78,0.0,0.73
0-1-1 char-word-func,0,1,1,4313,logent,LinearSVC,0.55,0.5,0.67,0.0,0.57,0.5,0.0,0.0,0.73
0-1-1 char-word-func,0,1,1,4313,logent,SVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
0-1-1 char-word-func,0,1,1,4313,logent,DecisionTreeClassifier,0.59,0.58,0.58,0.53,0.61,0.61,0.61,0.56,0.66
0-1-1 char-word-func,0,1,1,4313,logent,RandomForestClassifier,0.57,0.52,0.72,0.1,0.65,0.59,0.72,0.31,0.76
0-1-1 char-word-func,0,1,1,4313,logent,MultinomialNB,0.6,0.59,0.63,0.47,0.7,0.65,0.79,0.49,0.79
0-1-1 char-word-func,0,1,1,4313,logent,BernoulliNB,0.58,0.6,0.68,0.63,0.65,0.67,0.79,0.67,0.63
0-1-1 char-word-func,0,1,1,4313,logent,AdaBoostClassifier,0.63,0.62,0.7,0.57,0.66,0.65,0.73,0.59,0.72
0-2-1 char-word-func,0,2,1,6983,logent,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.75,0.0,0.73
0-2-1 char-word-func,0,2,1,6983,logent,LinearSVC,0.55,0.5,0.65,0.0,0.57,0.5,0.0,0.0,0.73
0-2-1 char-word-func,0,2,1,6983,logent,SVC,0.55,0.5,0.67,0.0,0.57,0.5,0.0,0.0,0.73
0-2-1 char-word-func,0,2,1,6983,logent,DecisionTreeClassifier,0.58,0.58,0.58,0.55,0.55,0.55,0.55,0.51,0.59
0-2-1 char-word-func,0,2,1,6983,logent,RandomForestClassifier,0.57,0.52,0.69,0.09,0.6,0.54,0.69,0.13,0.74
0-2-1 char-word-func,0,2,1,6983,logent,MultinomialNB,0.59,0.56,0.6,0.41,0.69,0.64,0.75,0.44,0.79
0-2-1 char-word-func,0,2,1,6983,logent,BernoulliNB,0.55,0.56,0.61,0.59,0.64,0.65,0.75,0.63,0.64
0-2-1 char-word-func,0,2,1,6983,logent,AdaBoostClassifier,0.62,0.61,0.67,0.57,0.65,0.64,0.68,0.59,0.7
0-3-1 char-word-func,0,3,1,3153,logent,LogisticRegression,0.55,0.5,0.67,0.0,0.57,0.5,0.71,0.0,0.73
0-3-1 char-word-func,0,3,1,3153,logent,LinearSVC,0.55,0.5,0.67,0.0,0.57,0.5,0.0,0.0,0.73
0-3-1 char-word-func,0,3,1,3153,logent,SVC,0.55,0.5,0.68,0.0,0.57,0.5,0.0,0.0,0.73
0-3-1 char-word-func,0,3,1,3153,logent,DecisionTreeClassifier,0.55,0.55,0.55,0.52,0.53,0.53,0.53,0.49,0.57
0-3-1 char-word-func,0,3,1,3153,logent,RandomForestClassifier,0.58,0.53,0.69,0.13,0.6,0.53,0.68,0.12,0.74
0-3-1 char-word-func,0,3,1,3153,logent,MultinomialNB,0.6,0.57,0.63,0.38,0.66,0.61,0.71,0.36,0.77
0-3-1 char-word-func,0,3,1,3153,logent,BernoulliNB,0.61,0.61,0.65,0.6,0.64,0.63,0.71,0.57,0.69
0-3-1 char-word-func,0,3,1,3153,logent,AdaBoostClassifier,0.62,0.62,0.67,0.59,0.63,0.62,0.67,0.56,0.67
0-4-1 char-word-func,0,4,1,1140,logent,LogisticRegression,0.55,0.5,0.69,0.0,0.57,0.5,0.69,0.0,0.73
0-4-1 char-word-func,0,4,1,1140,logent,LinearSVC,0.55,0.5,0.68,0.0,0.57,0.5,0.0,0.0,0.73
0-4-1 char-word-func,0,4,1,1140,logent,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
0-4-1 char-word-func,0,4,1,1140,logent,DecisionTreeClassifier,0.55,0.55,0.55,0.53,0.56,0.55,0.55,0.47,0.63
0-4-1 char-word-func,0,4,1,1140,logent,RandomForestClassifier,0.59,0.55,0.68,0.18,0.59,0.52,0.67,0.12,0.73
0-4-1 char-word-func,0,4,1,1140,logent,MultinomialNB,0.63,0.6,0.65,0.41,0.65,0.59,0.68,0.31,0.76
0-4-1 char-word-func,0,4,1,1140,logent,BernoulliNB,0.59,0.6,0.68,0.59,0.63,0.63,0.69,0.59,0.66
0-4-1 char-word-func,0,4,1,1140,logent,AdaBoostClassifier,0.6,0.59,0.65,0.55,0.62,0.62,0.67,0.58,0.65
0-5-1 char-word-func,0,5,1,541,logent,LogisticRegression,0.55,0.5,0.69,0.0,0.57,0.5,0.67,0.0,0.73
0-5-1 char-word-func,0,5,1,541,logent,LinearSVC,0.55,0.5,0.69,0.0,0.58,0.5,0.0,0.02,0.73
0-5-1 char-word-func,0,5,1,541,logent,SVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
0-5-1 char-word-func,0,5,1,541,logent,DecisionTreeClassifier,0.51,0.51,0.51,0.48,0.56,0.55,0.55,0.49,0.61
0-5-1 char-word-func,0,5,1,541,logent,RandomForestClassifier,0.58,0.53,0.65,0.13,0.59,0.52,0.68,0.14,0.73
0-5-1 char-word-func,0,5,1,541,logent,MultinomialNB,0.62,0.6,0.67,0.41,0.66,0.62,0.66,0.45,0.76
0-5-1 char-word-func,0,5,1,541,logent,BernoulliNB,0.61,0.62,0.69,0.61,0.61,0.61,0.67,0.59,0.62
0-5-1 char-word-func,0,5,1,541,logent,AdaBoostClassifier,0.6,0.59,0.62,0.56,0.58,0.57,0.62,0.5,0.64
0-6-1 char-word-func,0,6,1,378,logent,LogisticRegression,0.55,0.5,0.68,0.0,0.57,0.5,0.67,0.0,0.73
0-6-1 char-word-func,0,6,1,378,logent,LinearSVC,0.55,0.5,0.68,0.01,0.58,0.5,0.0,0.02,0.73
0-6-1 char-word-func,0,6,1,378,logent,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
0-6-1 char-word-func,0,6,1,378,logent,DecisionTreeClassifier,0.54,0.54,0.54,0.49,0.53,0.53,0.53,0.48,0.57
0-6-1 char-word-func,0,6,1,378,logent,RandomForestClassifier,0.6,0.56,0.67,0.26,0.62,0.55,0.69,0.19,0.75
0-6-1 char-word-func,0,6,1,378,logent,MultinomialNB,0.62,0.59,0.66,0.43,0.69,0.65,0.67,0.49,0.77
0-6-1 char-word-func,0,6,1,378,logent,BernoulliNB,0.59,0.6,0.67,0.59,0.61,0.62,0.67,0.59,0.63
0-6-1 char-word-func,0,6,1,378,logent,AdaBoostClassifier,0.59,0.59,0.62,0.54,0.59,0.57,0.63,0.46,0.67
1-0-1 char-word-func,1,0,1,394,logent,LogisticRegression,0.55,0.5,0.86,0.0,0.57,0.5,0.89,0.0,0.73
1-0-1 char-word-func,1,0,1,394,logent,LinearSVC,0.63,0.59,0.86,0.29,0.74,0.7,0.0,0.56,0.82
1-0-1 char-word-func,1,0,1,394,logent,SVC,0.55,0.5,0.86,0.0,0.57,0.5,0.0,0.0,0.73
1-0-1 char-word-func,1,0,1,394,logent,DecisionTreeClassifier,0.71,0.71,0.71,0.68,0.8,0.79,0.79,0.75,0.83
1-0-1 char-word-func,1,0,1,394,logent,RandomForestClassifier,0.65,0.61,0.79,0.38,0.74,0.7,0.86,0.58,0.82
1-0-1 char-word-func,1,0,1,394,logent,MultinomialNB,0.73,0.73,0.83,0.7,0.8,0.79,0.86,0.76,0.83
1-0-1 char-word-func,1,0,1,394,logent,BernoulliNB,0.67,0.69,0.79,0.71,0.68,0.69,0.82,0.68,0.67
1-0-1 char-word-func,1,0,1,394,logent,AdaBoostClassifier,0.75,0.75,0.82,0.73,0.86,0.85,0.93,0.83,0.88
1-0-2 char-word-func,1,0,2,3304,logent,LogisticRegression,0.55,0.5,0.86,0.0,0.57,0.5,0.89,0.0,0.73
1-0-2 char-word-func,1,0,2,3304,logent,LinearSVC,0.55,0.51,0.86,0.02,0.63,0.57,0.0,0.25,0.76
1-0-2 char-word-func,1,0,2,3304,logent,SVC,0.55,0.5,0.87,0.0,0.57,0.5,0.0,0.0,0.73
1-0-2 char-word-func,1,0,2,3304,logent,DecisionTreeClassifier,0.71,0.71,0.71,0.69,0.81,0.81,0.81,0.78,0.84
1-0-2 char-word-func,1,0,2,3304,logent,RandomForestClassifier,0.57,0.53,0.78,0.11,0.63,0.56,0.82,0.22,0.75
1-0-2 char-word-func,1,0,2,3304,logent,MultinomialNB,0.68,0.65,0.79,0.49,0.77,0.74,0.85,0.65,0.83
1-0-2 char-word-func,1,0,2,3304,logent,BernoulliNB,0.61,0.62,0.68,0.64,0.65,0.65,0.76,0.64,0.65
1-0-2 char-word-func,1,0,2,3304,logent,AdaBoostClassifier,0.77,0.77,0.85,0.75,0.83,0.83,0.92,0.8,0.85
1-0-3 char-word-func,1,0,3,3891,logent,LogisticRegression,0.55,0.5,0.84,0.0,0.57,0.5,0.89,0.0,0.73
1-0-3 char-word-func,1,0,3,3891,logent,LinearSVC,0.55,0.51,0.84,0.02,0.65,0.59,0.0,0.32,0.77
1-0-3 char-word-func,1,0,3,3891,logent,SVC,0.55,0.5,0.85,0.0,0.57,0.5,0.0,0.0,0.73
1-0-3 char-word-func,1,0,3,3891,logent,DecisionTreeClassifier,0.74,0.74,0.74,0.72,0.77,0.76,0.76,0.73,0.81
1-0-3 char-word-func,1,0,3,3891,logent,RandomForestClassifier,0.58,0.53,0.76,0.13,0.66,0.6,0.78,0.33,0.77
1-0-3 char-word-func,1,0,3,3891,logent,MultinomialNB,0.67,0.64,0.77,0.49,0.79,0.76,0.83,0.68,0.84
1-0-3 char-word-func,1,0,3,3891,logent,BernoulliNB,0.58,0.59,0.67,0.6,0.69,0.71,0.79,0.69,0.7
1-0-3 char-word-func,1,0,3,3891,logent,AdaBoostClassifier,0.74,0.74,0.82,0.71,0.79,0.78,0.91,0.74,0.83
1-0-4 char-word-func,1,0,4,1121,logent,LogisticRegression,0.55,0.5,0.83,0.0,0.57,0.5,0.87,0.0,0.73
1-0-4 char-word-func,1,0,4,1121,logent,LinearSVC,0.62,0.58,0.83,0.25,0.73,0.68,0.0,0.53,0.81
1-0-4 char-word-func,1,0,4,1121,logent,SVC,0.55,0.5,0.83,0.0,0.57,0.5,0.0,0.0,0.73
1-0-4 char-word-func,1,0,4,1121,logent,DecisionTreeClassifier,0.7,0.7,0.7,0.67,0.76,0.75,0.75,0.71,0.79
1-0-4 char-word-func,1,0,4,1121,logent,RandomForestClassifier,0.63,0.6,0.77,0.32,0.71,0.67,0.79,0.5,0.8
1-0-4 char-word-func,1,0,4,1121,logent,MultinomialNB,0.7,0.68,0.78,0.58,0.77,0.73,0.83,0.65,0.83
1-0-4 char-word-func,1,0,4,1121,logent,BernoulliNB,0.64,0.65,0.74,0.67,0.74,0.75,0.82,0.73,0.76
1-0-4 char-word-func,1,0,4,1121,logent,AdaBoostClassifier,0.71,0.71,0.79,0.7,0.77,0.76,0.87,0.72,0.81
1-0-5 char-word-func,1,0,5,237,logent,LogisticRegression,0.55,0.5,0.81,0.0,0.57,0.5,0.87,0.0,0.73
1-0-5 char-word-func,1,0,5,237,logent,LinearSVC,0.65,0.61,0.82,0.35,0.73,0.7,0.0,0.58,0.8
1-0-5 char-word-func,1,0,5,237,logent,SVC,0.55,0.5,0.82,0.0,0.57,0.5,0.0,0.0,0.73
1-0-5 char-word-func,1,0,5,237,logent,DecisionTreeClassifier,0.71,0.71,0.71,0.68,0.77,0.77,0.77,0.74,0.8
1-0-5 char-word-func,1,0,5,237,logent,RandomForestClassifier,0.66,0.63,0.78,0.39,0.73,0.69,0.86,0.55,0.81
1-0-5 char-word-func,1,0,5,237,logent,MultinomialNB,0.7,0.69,0.79,0.64,0.77,0.75,0.84,0.69,0.81
1-0-5 char-word-func,1,0,5,237,logent,BernoulliNB,0.66,0.68,0.78,0.71,0.69,0.72,0.82,0.71,0.68
1-0-5 char-word-func,1,0,5,237,logent,AdaBoostClassifier,0.72,0.72,0.78,0.71,0.76,0.75,0.88,0.7,0.8
1-0-6 char-word-func,1,0,6,119,logent,LogisticRegression,0.55,0.5,0.8,0.0,0.57,0.5,0.86,0.0,0.73
1-0-6 char-word-func,1,0,6,119,logent,LinearSVC,0.66,0.63,0.82,0.44,0.75,0.72,0.0,0.63,0.81
1-0-6 char-word-func,1,0,6,119,logent,SVC,0.55,0.5,0.82,0.0,0.57,0.5,0.0,0.0,0.73
1-0-6 char-word-func,1,0,6,119,logent,DecisionTreeClassifier,0.72,0.72,0.72,0.7,0.79,0.78,0.78,0.74,0.82
1-0-6 char-word-func,1,0,6,119,logent,RandomForestClassifier,0.66,0.64,0.79,0.5,0.73,0.69,0.86,0.57,0.8
1-0-6 char-word-func,1,0,6,119,logent,MultinomialNB,0.71,0.72,0.8,0.69,0.76,0.75,0.84,0.72,0.8
1-0-6 char-word-func,1,0,6,119,logent,BernoulliNB,0.66,0.68,0.78,0.71,0.7,0.72,0.82,0.71,0.68
1-0-6 char-word-func,1,0,6,119,logent,AdaBoostClassifier,0.7,0.7,0.77,0.68,0.78,0.76,0.91,0.72,0.82
0-1-1 char-word-func,0,1,1,4313,logent,LogisticRegression,0.55,0.5,0.67,0.0,0.57,0.5,0.78,0.0,0.73
0-1-1 char-word-func,0,1,1,4313,logent,LinearSVC,0.55,0.5,0.67,0.0,0.57,0.5,0.0,0.0,0.73
0-1-1 char-word-func,0,1,1,4313,logent,SVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
0-1-1 char-word-func,0,1,1,4313,logent,DecisionTreeClassifier,0.59,0.58,0.58,0.53,0.61,0.61,0.61,0.56,0.66
0-1-1 char-word-func,0,1,1,4313,logent,RandomForestClassifier,0.57,0.52,0.72,0.1,0.65,0.59,0.72,0.31,0.76
0-1-1 char-word-func,0,1,1,4313,logent,MultinomialNB,0.6,0.59,0.63,0.47,0.7,0.65,0.79,0.49,0.79
0-1-1 char-word-func,0,1,1,4313,logent,BernoulliNB,0.58,0.6,0.68,0.63,0.65,0.67,0.79,0.67,0.63
0-1-1 char-word-func,0,1,1,4313,logent,AdaBoostClassifier,0.63,0.62,0.7,0.57,0.66,0.65,0.73,0.59,0.72
0-1-2 char-word-func,0,1,2,7223,logent,LogisticRegression,0.55,0.5,0.66,0.0,0.57,0.5,0.79,0.0,0.73
0-1-2 char-word-func,0,1,2,7223,logent,LinearSVC,0.55,0.5,0.66,0.0,0.57,0.5,0.0,0.0,0.73
0-1-2 char-word-func,0,1,2,7223,logent,SVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
0-1-2 char-word-func,0,1,2,7223,logent,DecisionTreeClassifier,0.6,0.59,0.59,0.55,0.64,0.64,0.64,0.6,0.67
0-1-2 char-word-func,0,1,2,7223,logent,RandomForestClassifier,0.57,0.53,0.71,0.1,0.63,0.56,0.73,0.25,0.75
0-1-2 char-word-func,0,1,2,7223,logent,MultinomialNB,0.59,0.57,0.64,0.4,0.66,0.61,0.8,0.38,0.77
0-1-2 char-word-func,0,1,2,7223,logent,BernoulliNB,0.57,0.59,0.66,0.62,0.64,0.65,0.76,0.64,0.63
0-1-2 char-word-func,0,1,2,7223,logent,AdaBoostClassifier,0.68,0.67,0.75,0.63,0.66,0.65,0.75,0.62,0.69
0-1-3 char-word-func,0,1,3,7810,logent,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.79,0.0,0.73
0-1-3 char-word-func,0,1,3,7810,logent,LinearSVC,0.55,0.5,0.65,0.0,0.57,0.5,0.0,0.0,0.73
0-1-3 char-word-func,0,1,3,7810,logent,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
0-1-3 char-word-func,0,1,3,7810,logent,DecisionTreeClassifier,0.58,0.57,0.57,0.5,0.63,0.63,0.63,0.57,0.68
0-1-3 char-word-func,0,1,3,7810,logent,RandomForestClassifier,0.58,0.53,0.7,0.12,0.6,0.53,0.73,0.12,0.74
0-1-3 char-word-func,0,1,3,7810,logent,MultinomialNB,0.59,0.57,0.63,0.42,0.67,0.61,0.8,0.38,0.77
0-1-3 char-word-func,0,1,3,7810,logent,BernoulliNB,0.56,0.58,0.65,0.61,0.66,0.68,0.78,0.67,0.64
0-1-3 char-word-func,0,1,3,7810,logent,AdaBoostClassifier,0.64,0.64,0.71,0.58,0.69,0.68,0.77,0.64,0.73
0-1-4 char-word-func,0,1,4,5040,logent,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.79,0.0,0.73
0-1-4 char-word-func,0,1,4,5040,logent,LinearSVC,0.55,0.5,0.65,0.0,0.57,0.5,0.0,0.0,0.73
0-1-4 char-word-func,0,1,4,5040,logent,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
0-1-4 char-word-func,0,1,4,5040,logent,DecisionTreeClassifier,0.56,0.55,0.55,0.5,0.59,0.58,0.58,0.53,0.64
0-1-4 char-word-func,0,1,4,5040,logent,RandomForestClassifier,0.58,0.53,0.71,0.13,0.63,0.56,0.75,0.22,0.75
0-1-4 char-word-func,0,1,4,5040,logent,MultinomialNB,0.59,0.58,0.63,0.46,0.69,0.64,0.8,0.46,0.78
0-1-4 char-word-func,0,1,4,5040,logent,BernoulliNB,0.58,0.6,0.68,0.63,0.69,0.71,0.81,0.7,0.69
0-1-4 char-word-func,0,1,4,5040,logent,AdaBoostClassifier,0.67,0.66,0.72,0.6,0.68,0.67,0.72,0.63,0.72
0-1-5 char-word-func,0,1,5,4156,logent,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.78,0.0,0.73
0-1-5 char-word-func,0,1,5,4156,logent,LinearSVC,0.55,0.5,0.65,0.0,0.57,0.5,0.0,0.0,0.73
0-1-5 char-word-func,0,1,5,4156,logent,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
0-1-5 char-word-func,0,1,5,4156,logent,DecisionTreeClassifier,0.56,0.55,0.55,0.5,0.61,0.62,0.62,0.59,0.64
0-1-5 char-word-func,0,1,5,4156,logent,RandomForestClassifier,0.57,0.52,0.7,0.1,0.6,0.54,0.74,0.13,0.74
0-1-5 char-word-func,0,1,5,4156,logent,MultinomialNB,0.59,0.57,0.63,0.46,0.7,0.66,0.79,0.52,0.78
0-1-5 char-word-func,0,1,5,4156,logent,BernoulliNB,0.58,0.6,0.68,0.63,0.67,0.69,0.8,0.68,0.66
0-1-5 char-word-func,0,1,5,4156,logent,AdaBoostClassifier,0.64,0.63,0.69,0.58,0.69,0.69,0.76,0.64,0.74
0-1-6 char-word-func,0,1,6,4038,logent,LogisticRegression,0.55,0.5,0.65,0.0,0.57,0.5,0.78,0.0,0.73
0-1-6 char-word-func,0,1,6,4038,logent,LinearSVC,0.55,0.5,0.65,0.0,0.57,0.5,0.0,0.0,0.73
0-1-6 char-word-func,0,1,6,4038,logent,SVC,0.55,0.5,0.69,0.0,0.57,0.5,0.0,0.0,0.73
0-1-6 char-word-func,0,1,6,4038,logent,DecisionTreeClassifier,0.57,0.57,0.57,0.52,0.63,0.63,0.63,0.6,0.66
0-1-6 char-word-func,0,1,6,4038,logent,RandomForestClassifier,0.56,0.51,0.7,0.06,0.59,0.52,0.73,0.12,0.73
0-1-6 char-word-func,0,1,6,4038,logent,MultinomialNB,0.59,0.58,0.63,0.47,0.71,0.67,0.79,0.53,0.79
0-1-6 char-word-func,0,1,6,4038,logent,BernoulliNB,0.58,0.59,0.67,0.63,0.68,0.7,0.8,0.69,0.66
0-1-6 char-word-func,0,1,6,4038,logent,AdaBoostClassifier,0.64,0.63,0.7,0.58,0.68,0.67,0.73,0.6,0.74
1-0-0 char-word-func,1,0,0,101,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.82,0.0,0.73
1-0-0 char-word-func,1,0,0,101,tfidf,LinearSVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,1,0,0,101,tfidf,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,1,0,0,101,tfidf,DecisionTreeClassifier,0.68,0.68,0.68,0.66,0.78,0.76,0.76,0.72,0.82
1-0-0 char-word-func,1,0,0,101,tfidf,RandomForestClassifier,0.67,0.64,0.81,0.44,0.74,0.7,0.89,0.58,0.81
1-0-0 char-word-func,1,0,0,101,tfidf,MultinomialNB,0.61,0.57,0.78,0.22,0.69,0.64,0.88,0.44,0.79
1-0-0 char-word-func,1,0,0,101,tfidf,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,1,0,0,101,tfidf,AdaBoostClassifier,0.71,0.71,0.78,0.7,0.78,0.77,0.89,0.74,0.81
1-0-0 char-word-func,1,0,0,101,norm,LogisticRegression,0.6,0.55,0.72,0.19,0.71,0.66,0.79,0.5,0.8
1-0-0 char-word-func,1,0,0,101,norm,LinearSVC,0.66,0.63,0.77,0.35,0.73,0.68,0.0,0.54,0.8
1-0-0 char-word-func,1,0,0,101,norm,SVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,1,0,0,101,norm,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.71,0.79
1-0-0 char-word-func,1,0,0,101,norm,RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,1,0,0,101,norm,MultinomialNB,0.65,0.63,0.77,0.4,0.73,0.68,0.82,0.54,0.8
1-0-0 char-word-func,1,0,0,101,norm,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,1,0,0,101,norm,AdaBoostClassifier,0.71,0.71,0.8,0.7,0.81,0.8,0.9,0.76,0.84
1-0-0 char-word-func,1,0,0,101,relat,LogisticRegression,0.55,0.5,0.7,0.0,0.57,0.5,0.75,0.0,0.73
1-0-0 char-word-func,1,0,0,101,relat,LinearSVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,1,0,0,101,relat,SVC,0.55,0.5,0.7,0.0,0.57,0.5,0.0,0.0,0.73
1-0-0 char-word-func,1,0,0,101,relat,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.71,0.8
1-0-0 char-word-func,1,0,0,101,relat,RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,1,0,0,101,relat,MultinomialNB,0.55,0.51,0.65,0.03,0.57,0.5,0.71,0.0,0.73
1-0-0 char-word-func,1,0,0,101,relat,BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,1,0,0,101,relat,AdaBoostClassifier,0.71,0.71,0.79,0.7,0.81,0.8,0.9,0.76,0.84
1-0-0 char-word-func,1,0,0,101,none (tf),LogisticRegression,0.74,0.74,0.83,0.72,0.79,0.77,0.89,0.73,0.82
1-0-0 char-word-func,1,0,0,101,none (tf),LinearSVC,0.71,0.7,0.81,0.64,0.74,0.7,0.0,0.58,0.83
1-0-0 char-word-func,1,0,0,101,none (tf),SVC,0.73,0.73,0.81,0.71,0.79,0.77,0.0,0.73,0.82
1-0-0 char-word-func,1,0,0,101,none (tf),DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.76,0.75,0.75,0.7,0.79
1-0-0 char-word-func,1,0,0,101,none (tf),RandomForestClassifier,0.67,0.64,0.79,0.4,0.72,0.68,0.88,0.52,0.8
1-0-0 char-word-func,1,0,0,101,none (tf),MultinomialNB,0.67,0.69,0.78,0.71,0.76,0.78,0.86,0.76,0.77
1-0-0 char-word-func,1,0,0,101,none (tf),BernoulliNB,0.66,0.68,0.76,0.71,0.69,0.71,0.82,0.71,0.67
1-0-0 char-word-func,1,0,0,101,none (tf),AdaBoostClassifier,0.71,0.71,0.79,0.7,0.81,0.8,0.9,0.76,0.84
2-0-0 char-word-func,2,0,0,1555,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.86,0.0,0.73
2-0-0 char-word-func,2,0,0,1555,tfidf,LinearSVC,0.55,0.51,0.76,0.03,0.57,0.5,0.0,0.0,0.73
2-0-0 char-word-func,2,0,0,1555,tfidf,SVC,0.55,0.5,0.79,0.0,0.57,0.5,0.0,0.0,0.73
2-0-0 char-word-func,2,0,0,1555,tfidf,DecisionTreeClassifier,0.71,0.7,0.7,0.68,0.81,0.81,0.81,0.78,0.84
2-0-0 char-word-func,2,0,0,1555,tfidf,RandomForestClassifier,0.66,0.62,0.87,0.34,0.74,0.7,0.94,0.56,0.82
2-0-0 char-word-func,2,0,0,1555,tfidf,MultinomialNB,0.59,0.55,0.8,0.18,0.7,0.65,0.89,0.47,0.79
2-0-0 char-word-func,2,0,0,1555,tfidf,BernoulliNB,0.69,0.71,0.81,0.71,0.74,0.75,0.88,0.73,0.75
2-0-0 char-word-func,2,0,0,1555,tfidf,AdaBoostClassifier,0.78,0.78,0.86,0.76,0.83,0.82,0.92,0.79,0.86
