N-gram-feat-comb,char N-gram,word N-gram,func N-gram,total_feat_num,weight scheme,classifier,cv-acc,cv-balanced_acc,cv-roc,cv-f1-fake,acc,balanced_acc,roc,f1_fake,f1_real
6-6-6 char-word-func,6,6,6,37208,tfidf,LinearSVC,0.55,0.5,0.61,0.0,0.57,0.5,0.0,0.0,0.73
6-6-6 char-word-func,6,6,6,37208,tfidf,SVC,0.55,0.5,0.62,0.0,0.57,0.5,0.0,0.0,0.73
6-6-6 char-word-func,6,6,6,37208,tfidf,DecisionTreeClassifier,0.61,0.6,0.6,0.55,0.61,0.61,0.61,0.57,0.65
6-6-6 char-word-func,6,6,6,37208,tfidf,RandomForestClassifier,0.57,0.53,0.71,0.1,0.58,0.51,0.74,0.07,0.73
6-6-6 char-word-func,6,6,6,37208,tfidf,MultinomialNB,0.57,0.55,0.58,0.39,0.63,0.56,0.76,0.22,0.75
6-6-6 char-word-func,6,6,6,37208,tfidf,BernoulliNB,0.53,0.55,0.59,0.61,0.62,0.64,0.7,0.65,0.59
6-6-6 char-word-func,6,6,6,37208,tfidf,AdaBoostClassifier,0.66,0.65,0.71,0.62,0.71,0.71,0.75,0.67,0.75
6-6-6 char-word-func,6,6,6,37208,norm,LogisticRegression,0.63,0.61,0.66,0.51,0.72,0.68,0.8,0.54,0.8
6-6-6 char-word-func,6,6,6,37208,norm,LinearSVC,0.64,0.64,0.68,0.6,0.75,0.73,0.0,0.66,0.8
6-6-6 char-word-func,6,6,6,37208,norm,SVC,0.63,0.61,0.68,0.53,0.69,0.65,0.0,0.51,0.78
6-6-6 char-word-func,6,6,6,37208,norm,DecisionTreeClassifier,0.62,0.62,0.62,0.57,0.61,0.6,0.6,0.53,0.67
6-6-6 char-word-func,6,6,6,37208,norm,RandomForestClassifier,0.57,0.52,0.7,0.08,0.58,0.51,0.76,0.04,0.73
6-6-6 char-word-func,6,6,6,37208,norm,MultinomialNB,0.53,0.55,0.6,0.6,0.72,0.7,0.78,0.65,0.76
6-6-6 char-word-func,6,6,6,37208,norm,BernoulliNB,0.53,0.55,0.59,0.61,0.62,0.64,0.7,0.65,0.59
6-6-6 char-word-func,6,6,6,37208,norm,AdaBoostClassifier,0.65,0.64,0.72,0.6,0.67,0.65,0.76,0.57,0.73
6-6-6 char-word-func,6,6,6,37208,relat,LogisticRegression,0.52,0.48,0.55,0.03,0.57,0.5,0.75,0.0,0.73
6-6-6 char-word-func,6,6,6,37208,relat,LinearSVC,0.51,0.49,0.55,0.31,0.59,0.52,0.0,0.09,0.74
6-6-6 char-word-func,6,6,6,37208,relat,SVC,0.55,0.5,0.53,0.01,0.57,0.5,0.0,0.0,0.73
6-6-6 char-word-func,6,6,6,37208,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.61,0.6,0.6,0.53,0.67
6-6-6 char-word-func,6,6,6,37208,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.58,0.51,0.76,0.04,0.73
6-6-6 char-word-func,6,6,6,37208,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.69,0.69,0.76,0.65,0.73
6-6-6 char-word-func,6,6,6,37208,relat,BernoulliNB,0.53,0.55,0.59,0.61,0.62,0.64,0.7,0.65,0.59
6-6-6 char-word-func,6,6,6,37208,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.67,0.65,0.76,0.57,0.73
6-6-6 char-word-func,6,6,6,37208,none (tf),LogisticRegression,0.64,0.63,0.67,0.6,0.73,0.7,0.77,0.63,0.78
6-6-6 char-word-func,6,6,6,37208,none (tf),LinearSVC,0.63,0.63,0.68,0.62,0.7,0.69,0.0,0.63,0.75
6-6-6 char-word-func,6,6,6,37208,none (tf),SVC,0.63,0.63,0.67,0.61,0.67,0.65,0.0,0.58,0.73
6-6-6 char-word-func,6,6,6,37208,none (tf),DecisionTreeClassifier,0.62,0.62,0.62,0.57,0.61,0.6,0.6,0.53,0.67
6-6-6 char-word-func,6,6,6,37208,none (tf),RandomForestClassifier,0.57,0.52,0.7,0.08,0.58,0.51,0.76,0.04,0.73
6-6-6 char-word-func,6,6,6,37208,none (tf),MultinomialNB,0.53,0.55,0.58,0.59,0.7,0.7,0.74,0.67,0.72
6-6-6 char-word-func,6,6,6,37208,none (tf),BernoulliNB,0.53,0.55,0.59,0.61,0.62,0.64,0.7,0.65,0.59
6-6-6 char-word-func,6,6,6,37208,none (tf),AdaBoostClassifier,0.65,0.64,0.72,0.6,0.67,0.65,0.76,0.57,0.73
1-1-0 char-word-func,1,1,0,4121,tfidf,LogisticRegression,0.55,0.5,0.75,0.0,0.57,0.5,0.83,0.0,0.73
1-1-0 char-word-func,1,1,0,4121,tfidf,LinearSVC,0.55,0.5,0.75,0.0,0.57,0.5,0.0,0.0,0.73
1-1-0 char-word-func,1,1,0,4121,tfidf,SVC,0.55,0.5,0.76,0.0,0.57,0.5,0.0,0.0,0.73
1-1-0 char-word-func,1,1,0,4121,tfidf,DecisionTreeClassifier,0.74,0.74,0.74,0.71,0.81,0.8,0.8,0.76,0.83
1-1-0 char-word-func,1,1,0,4121,tfidf,RandomForestClassifier,0.57,0.53,0.79,0.12,0.63,0.57,0.88,0.25,0.76
1-1-0 char-word-func,1,1,0,4121,tfidf,MultinomialNB,0.55,0.5,0.78,0.0,0.57,0.5,0.89,0.0,0.73
1-1-0 char-word-func,1,1,0,4121,tfidf,BernoulliNB,0.59,0.61,0.71,0.65,0.71,0.73,0.84,0.72,0.69
1-1-0 char-word-func,1,1,0,4121,tfidf,AdaBoostClassifier,0.76,0.76,0.83,0.75,0.84,0.83,0.94,0.8,0.86
1-1-0 char-word-func,1,1,0,4121,norm,LogisticRegression,0.64,0.61,0.77,0.39,0.72,0.67,0.87,0.52,0.8
1-1-0 char-word-func,1,1,0,4121,norm,LinearSVC,0.72,0.72,0.81,0.68,0.82,0.8,0.0,0.75,0.86
1-1-0 char-word-func,1,1,0,4121,norm,SVC,0.57,0.53,0.76,0.17,0.69,0.63,0.0,0.42,0.79
1-1-0 char-word-func,1,1,0,4121,norm,DecisionTreeClassifier,0.74,0.75,0.75,0.73,0.82,0.81,0.81,0.78,0.85
1-1-0 char-word-func,1,1,0,4121,norm,RandomForestClassifier,0.57,0.52,0.75,0.1,0.63,0.57,0.83,0.24,0.76
1-1-0 char-word-func,1,1,0,4121,norm,MultinomialNB,0.54,0.56,0.64,0.61,0.74,0.73,0.84,0.7,0.77
1-1-0 char-word-func,1,1,0,4121,norm,BernoulliNB,0.59,0.61,0.71,0.65,0.71,0.73,0.84,0.72,0.69
1-1-0 char-word-func,1,1,0,4121,norm,AdaBoostClassifier,0.76,0.76,0.85,0.75,0.86,0.85,0.94,0.83,0.88
1-1-0 char-word-func,1,1,0,4121,relat,LogisticRegression,0.55,0.5,0.56,0.0,0.57,0.5,0.75,0.0,0.73
1-1-0 char-word-func,1,1,0,4121,relat,LinearSVC,0.52,0.48,0.56,0.13,0.58,0.5,0.0,0.02,0.73
1-1-0 char-word-func,1,1,0,4121,relat,SVC,0.55,0.5,0.53,0.0,0.57,0.5,0.0,0.0,0.73
1-1-0 char-word-func,1,1,0,4121,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.82,0.81,0.81,0.78,0.85
1-1-0 char-word-func,1,1,0,4121,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.63,0.57,0.83,0.24,0.76
1-1-0 char-word-func,1,1,0,4121,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.68,0.65,0.75,0.52,0.76
1-1-0 char-word-func,1,1,0,4121,relat,BernoulliNB,0.59,0.61,0.71,0.65,0.71,0.73,0.84,0.72,0.69
1-1-0 char-word-func,1,1,0,4121,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.86,0.85,0.94,0.83,0.88
1-1-0 char-word-func,1,1,0,4121,none (tf),LogisticRegression,0.73,0.73,0.83,0.72,0.82,0.8,0.91,0.77,0.85
1-1-0 char-word-func,1,1,0,4121,none (tf),LinearSVC,0.74,0.75,0.82,0.73,0.8,0.81,0.0,0.78,0.85
1-1-0 char-word-func,1,1,0,4121,none (tf),SVC,0.74,0.74,0.82,0.72,0.82,0.82,0.0,0.79,0.85
1-1-0 char-word-func,1,1,0,4121,none (tf),DecisionTreeClassifier,0.75,0.75,0.75,0.73,0.82,0.81,0.81,0.78,0.85
1-1-0 char-word-func,1,1,0,4121,none (tf),RandomForestClassifier,0.57,0.52,0.75,0.1,0.63,0.57,0.83,0.24,0.76
1-1-0 char-word-func,1,1,0,4121,none (tf),MultinomialNB,0.61,0.63,0.73,0.67,0.76,0.77,0.85,0.74,0.77
1-1-0 char-word-func,1,1,0,4121,none (tf),BernoulliNB,0.59,0.61,0.71,0.65,0.71,0.73,0.84,0.72,0.69
1-1-0 char-word-func,1,1,0,4121,none (tf),AdaBoostClassifier,0.76,0.76,0.85,0.75,0.86,0.85,0.94,0.83,0.88
2-1-0 char-word-func,2,1,0,5575,tfidf,LogisticRegression,0.55,0.5,0.74,0.0,0.57,0.5,0.86,0.0,0.73
2-1-0 char-word-func,2,1,0,5575,tfidf,LinearSVC,0.55,0.5,0.74,0.01,0.57,0.5,0.0,0.0,0.73
2-1-0 char-word-func,2,1,0,5575,tfidf,SVC,0.55,0.5,0.78,0.0,0.57,0.5,0.0,0.0,0.73
2-1-0 char-word-func,2,1,0,5575,tfidf,DecisionTreeClassifier,0.71,0.71,0.71,0.69,0.78,0.77,0.77,0.73,0.82
2-1-0 char-word-func,2,1,0,5575,tfidf,RandomForestClassifier,0.61,0.57,0.87,0.24,0.74,0.7,0.95,0.56,0.82
2-1-0 char-word-func,2,1,0,5575,tfidf,MultinomialNB,0.56,0.51,0.75,0.06,0.61,0.54,0.88,0.15,0.74
2-1-0 char-word-func,2,1,0,5575,tfidf,BernoulliNB,0.67,0.69,0.79,0.72,0.73,0.74,0.89,0.73,0.72
2-1-0 char-word-func,2,1,0,5575,tfidf,AdaBoostClassifier,0.8,0.8,0.85,0.78,0.83,0.82,0.91,0.79,0.86
2-1-0 char-word-func,2,1,0,5575,norm,LogisticRegression,0.65,0.64,0.78,0.48,0.76,0.72,0.85,0.62,0.82
2-1-0 char-word-func,2,1,0,5575,norm,LinearSVC,0.72,0.72,0.81,0.69,0.8,0.77,0.0,0.72,0.85
2-1-0 char-word-func,2,1,0,5575,norm,SVC,0.6,0.57,0.78,0.32,0.64,0.58,0.0,0.26,0.76
2-1-0 char-word-func,2,1,0,5575,norm,DecisionTreeClassifier,0.73,0.73,0.73,0.71,0.8,0.79,0.79,0.76,0.83
2-1-0 char-word-func,2,1,0,5575,norm,RandomForestClassifier,0.64,0.6,0.86,0.31,0.74,0.7,0.93,0.57,0.82
2-1-0 char-word-func,2,1,0,5575,norm,MultinomialNB,0.6,0.62,0.71,0.66,0.79,0.78,0.88,0.74,0.82
2-1-0 char-word-func,2,1,0,5575,norm,BernoulliNB,0.67,0.69,0.79,0.72,0.73,0.74,0.89,0.73,0.72
2-1-0 char-word-func,2,1,0,5575,norm,AdaBoostClassifier,0.8,0.8,0.88,0.79,0.83,0.82,0.92,0.79,0.86
2-1-0 char-word-func,2,1,0,5575,relat,LogisticRegression,0.55,0.5,0.6,0.0,0.57,0.5,0.8,0.0,0.73
2-1-0 char-word-func,2,1,0,5575,relat,LinearSVC,0.53,0.5,0.61,0.19,0.58,0.5,0.0,0.02,0.73
2-1-0 char-word-func,2,1,0,5575,relat,SVC,0.55,0.5,0.57,0.0,0.57,0.5,0.0,0.0,0.73
2-1-0 char-word-func,2,1,0,5575,relat,DecisionTreeClassifier,-1.0,-1.0,-1.0,-1.0,0.79,0.78,0.78,0.75,0.82
2-1-0 char-word-func,2,1,0,5575,relat,RandomForestClassifier,-1.0,-1.0,-1.0,-1.0,0.74,0.7,0.93,0.57,0.82
2-1-0 char-word-func,2,1,0,5575,relat,MultinomialNB,-1.0,-1.0,-1.0,-1.0,0.72,0.69,0.81,0.61,0.78
2-1-0 char-word-func,2,1,0,5575,relat,BernoulliNB,0.67,0.69,0.79,0.72,0.73,0.74,0.89,0.73,0.72
2-1-0 char-word-func,2,1,0,5575,relat,AdaBoostClassifier,-1.0,-1.0,-1.0,-1.0,0.83,0.82,0.92,0.79,0.86
2-1-0 char-word-func,2,1,0,5575,none (tf),LogisticRegression,0.67,0.67,0.75,0.65,0.77,0.76,0.83,0.71,0.82
2-1-0 char-word-func,2,1,0,5575,none (tf),LinearSVC,0.68,0.68,0.76,0.66,0.76,0.75,0.0,0.71,0.8
2-1-0 char-word-func,2,1,0,5575,none (tf),SVC,0.68,0.68,0.75,0.66,0.75,0.74,0.0,0.69,0.79
